,Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,Tax Parcel
17,662 Huntington Ave-collegeUniversity,Yes,College/University,662 Huntingtn Ave,02115,51729,150.7,Not applicable to this property type,,College/University,1995,538.2,10.4,7793999.9,37%,63%,0%,9.976995495756732,,,0401844000
18,Administration Building/Wilkens Science Center,Yes,College/University,400 The Fenway,02115,222865,176.3,Not applicable to this property type,,"College/University, Data Center, Parking",1919,2044,12.3,29287621.4,38%,62%,0%,18.106203318628012,,"Two buildings sharing utility meters. Building contains classrooms, science labs, office spaces, parking as well as a small dining hall.

Gross square footage includes 56,712 square feet for parking garage.",0401847000
19,Alumnae Hall,Yes,College/University,321R Brookline Avenue,02115,7600,153.4,Not applicable to this property type,,College/University,1905,87.2,11.5,1165722.1,50%,50%,0%,,,"Chiller serving multiple buildings located on roof. For information about recent energy efficiency projects, please visit green.simmons.edu.",0402012000
20,Arnold Hall,Yes,College/University,78 Pilgrim Road,02115,22000,113.9,Not Available,,College/University,1951,168.3,7.7,2506044.5,32%,68%,0%,34.41818181818182,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",0402013000
21,"Asian,Kennedy,Smith Campus",Yes,College/University,"125,129,131 Hemenway street",02115,110798,80.7,Not applicable to this property type,,College/University,1903,557.8,5,8941435.1,21%,79%,0%,35.95191248939511,,,Not Available
22,Bartol Hall,Yes,College/University,84 Pilgrim Road,02115,25400,176.6,Not applicable to this property type,,College/University,1953,314.4,12.4,4484554.9,39%,61%,0%,101.29133858267717,,"Dining Hall; Residence Campus central gas powered steam plant is located in this building. For information about recent energy efficiency projects, please visit green.simmons.edu.",0402012000
23,"Cahners,Cushing,kerr,Melvin Campus",Yes,College/University,90 The Fenway,02115,99293,111.6,Not applicable to this property type,,College/University,1923,675.1,6.8,11085086.7,18%,82%,0%,24.412597061222847,,,Not Available
24,Columbus Place,Yes,College/University,716 Columbus Avenue,02115,124192,94.1,Not applicable to this property type,,College/University,1910,874.9,7,11689329.9,50%,50%,0%,6.761305076011337,,,Not Available
25,Davenport Commons A,Yes,College/University,700 Columbus Avenue,02115,122719,72.7,Not applicable to this property type,,College/University,2001,595.6,4.9,8925320.2,31%,69%,0%,34.585516505186646,,,Not Available
26,Davenport Commons B,Yes,College/University,696 Columbus Avenue,02115,76325,75.4,Not applicable to this property type,,College/University,2001,392.3,5.1,5757217.6,34%,66%,0%,35.82705535538814,,,Not Available
27,Dix Hall,Yes,College/University,30 Pilgrim Road,02115,22000,108.5,Not Available,,College/University,1953,156.8,7.1,2386586.8,29%,71%,0%,46.67727272727273,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",0402016000
28,Evans Hall,Yes,College/University,305 Brookline Avenue,02115,31900,96.8,Not Available,,College/University,1938,191.1,6,3087064.4,20%,80%,0%,33.63949843260188,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",0402022000
29,Health Center,Yes,College/University,94 Pilgrim Road,02115,5400,106.6,Not applicable to this property type,,College/University,1967,37.4,6.9,575461.8,27%,73%,0%,6.925925925925926,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",0402012000
30,HMS-Tosteson Medical Education Center (TMEC),Yes,College/University,260 Longwood Ave,02115,180027,181.4,Not applicable to this property type,,College/University,1905,2312.2,12.8,32660833,25%,0%,52%,0.4227143706221845,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",0401882000
31,Holmes Sports Center,Yes,College/University,331 Brookline Avenue,02115,53100,133.7,Not applicable to this property type,,College/University,1989,491.1,9.2,7098105.1,37%,63%,0%,18.890772128060263,,"Athletic facility with pool and spa; served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",0402012000
32,International Village,Yes,College/University,1155-1175 Tremont Street,02115,495301,89.3,Not applicable to this property type,,College/University,2009,3250,6.6,44229879.7,47%,53%,0%,30.915544285192237,,,Not Available
33,Jean Yawkey Center/Marian Hall,Yes,College/University,400R The Fenway,02115,121477,213.6,Not applicable to this property type,,"College/University, Parking",1954,1300.9,14.8,18768347.8,37%,63%,0%,38.52088714908338,,"Building contains gymnasium, fitness center, dining hall, classrooms, office spaces and parking.

Gross square footage includes 33,600 square feet for parking garage.

Between October 2014 and January 2015, we upgraded 413 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 184,000 kWh in these buildings.

http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html",0401847000
34,Lefavour Hall,Yes,College/University,2 Avenue Louis Pasteur,02115,122900,117,Not applicable to this property type,,College/University,1961,968.5,7.9,14374594.3,33%,67%,0%,12.602115541090317,,"Gas and electric consumption is managed by a shared meter; energy usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",0401842000
35,Loftman Hall,Yes,College/University,"163, 157, 153 Hemenway Street",02115,53219,86.1,Not applicable to this property type,,College/University,1909,272.2,5.1,4582917.4,14%,86%,0%,34.94992389935925,,,Not Available
36,Main College Building,Yes,College/University,300 The Fenway,02115,198700,122.4,Not applicable to this property type,,"College/University, Office",1904,1621.1,8.2,24315730.4,31%,69%,0%,9.43331655762456,,"Gas and electric consumption is managed by a shared meter; energy usage has been apportioned by square foot. Data center is not separately metered. For information about recent energy efficiency projects, please visit green.simmons.edu.

",0401842000
37,Mesick Hall,Yes,College/University,291 Brookline Avenue,02115,25900,101.3,Not Available,,College/University,1961,166.6,6.4,2624653.7,24%,76%,0%,32.996138996138995,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",0402020000
38,Morse Hall,Yes,College/University,275 Brookline Avenue,02115,22000,94.1,Not Available,,College/University,1953,126.1,5.7,2069301.7,18%,82%,0%,40.64545454545455,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",0402017000
39,North Hall,Yes,College/University,86 Pilgrim Road,02115,26000,105.1,Not Available,,College/University,1907,176.9,6.8,2733841.1,27%,73%,0%,34.71153846153846,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",0402012000
40,Northeastern University Big Campus,Yes,College/University,360 Huntington Avenue,02115,4699442,152.6,Not applicable to this property type,,College/University,1956,48581.7,10.3,717133521.6,34%,66%,0%,28.25460980261061,,,Not Available
41,Park Science Center,Yes,College/University,300 The Fenway,02115,103200,116.2,Not applicable to this property type,,College/University,1972,809.2,7.8,11995566.8,33%,67%,0%,35.213178294573645,,Gas and electric consumption is managed by a shared meter; energy usage has been apportioned by square foot; Academic Campus chiller plant is located on the roof of this building.,0401842000
42,"Rubenstein,Burstein Campus",Yes,College/University,454-458-460 Huntington Avenue,02115,81306,63.2,Not applicable to this property type,,College/University,1926,320.2,3.9,5138843.3,21%,79%,0%,33.59038693331365,,,Not Available
43,Simmons Hall,Yes,College/University,255 Brookline Avenue,02115,34400,95.3,Not Available,,College/University,1956,201.1,5.8,3276785.8,19%,81%,0%,31.3953488372093,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",0402017000
44,Smith Hall,Yes,College/University,54 Pilgrim Road,02115,32400,115.5,Not Available,,College/University,1964,252.8,7.8,3740856.5,33%,67%,0%,30.780864197530864,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",0402015000
45,South Hall,Yes,College/University,321 Brookline Avenue,02115,26100,101.4,Not Available,,College/University,1905,168.1,6.4,2646500.3,24%,76%,0%,47.23754789272031,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",0402012000
46,Warehouse,Yes,College/University,76 Atherton Street,02115,140197,45.2,Not applicable to this property type,,College/University,1910,373.7,2.7,6339240.4,13%,87%,0%,3.435879512400408,,,Not Available
47,Wentworth Institute of Technology,Yes,College/University,550 Huntington Ave.,02115,1289491,85.9,Not applicable to this property type,,"College/University, Parking",1910,7411,5.7,110750183.7,32%,68%,0%,18.817114659970485,,,402024000 402025000 401826000 402037001 401810000 401833000 401832000 401831000 401830000 401815000 401814000 401812000 401811000 401816000 401817000 401819000 402044000 402045000 902907000 402031000 401822000
48,543-547 Washington Street,Yes,College/University,543-547 Washington Street,02116,146942,73235.1,Not applicable to this property type,,College/University,2008,714879.5,4865,10761312159.6,0%,0%,100%,46.75790447931837,,"Temporary values were entered for detailed property use, definitive numbers will be updates as soon as they become available.",0304839010
49,Ansin Building,Yes,College/University,180 Tremont St,02116,98744,2362.9,Not applicable to this property type,,College/University,1931,15762.7,159.6,233326814.8,4%,0%,96%,11.9531313294985,,,0304890100
50,Walker Building,Yes,College/University,120 Boylston St,02116,176296,89.2,Not applicable to this property type,,College/University,1891,1280.7,7.3,15723056.6,50%,0%,50%,,,,0500043011
51,HBS Aldrich Hall,Yes,College/University,35 Harvard Way,02163,105818,64.2,Not applicable to this property type,,College/University,1953,549.6,5.2,6791846.5,48%,0%,52%,23.121775123324955,,Aldrich Hall - the data was manually entered because the integration with Hara was not working.,2200530000
52,HBS Crimson Commons,Yes,College/University,51 N Harvard St,02163,50000,Not Available,Not applicable to this property type,,College/University,2013,391,7.8,Not Available,0%,0%,0%,,,"Crimson Commons is an interim dining facility while the Chao Center is under construction.
There is no building electricity meter, instead the electricity is run from Hawes Hall. The estimated electricity usage is approx 850,000 kWh annually.",2200530000
53,HBS Hawes,Yes,College/University,37 Harvard Way,02163,61104,78.8,Not applicable to this property type,,College/University,2002,428.5,7,4812348.7,75%,0%,25%,22.625360041895785,,"Electricity usage is high because Crimson Commons electricity load comes off of this building. Crimson Commons can account for ~72,000 kWh monthly. Electricity was not deducted from the Hawes meter, but I manually added electricity usage for Crimson Commons",2200530000
54,HBS Tata Hall,Yes,College/University,53 Harvard Way,02163,157587,50.8,Not applicable to this property type,,College/University,2012,589.1,3.7,8008979.8,47%,53%,0%,,78719,A 71 kW solar PV system had been installed at Tata Hall in November 2013.,2200530000
55,HRE - Harvard Innovation Lab,Yes,College/University,125 Western Avenue,02163,81695,62.6,Not applicable to this property type,,College/University,2000,381.4,4.7,5111451.4,49%,51%,0%,17.545749433869883,,,2200500000
56,110-112 Cummington Street,Yes,College/University,110-112 Cummington Street,02215,48901,Not Available,Not applicable to this property type,,College/University,1923,Not Available,Not Available,Not Available,0%,0%,0%,,,,Not Available
57,111 Cummington Street (664-666 Comm. Ave),Yes,College/University,111 Cummington Street (664-666 Comm. Ave),02215,93831,131.7,Not applicable to this property type,,College/University,1911,1071.1,11.4,12359702.2,77%,23%,0%,9.906107789536508,,,Not Available
58,1140 Boylston Street,Yes,College/University,1140 Boylston Street,02215,66920,135.7,Not applicable to this property type,,College/University,1920,773.2,11.6,9080485.1,73%,27%,0%,7.8705917513448895,,,Not Available
59,300 Babcock Street,Yes,College/University,300 Babcock Street,02215,88000,68.6,Not applicable to this property type,,College/University,1986,420.9,4.8,6035143.2,38%,62%,0%,3.090909090909091,,,2100412001
60,605-615 Commonwealth Avenue (2 Silber Way),Yes,College/University,605-615 Commonwealth Avenue (2 Silber Way),02215,85000,92.5,Not applicable to this property type,,College/University,1981,521.2,6.1,7866315.9,30%,70%,0%,5.381176470588235,,,0504081000
61,622-640 Commonwealth Avenue,Yes,College/University,622-640 Commonwealth Avenue,02215,84022,100.6,Not applicable to this property type,,College/University,1902,602.7,7.2,8453894.8,42%,58%,0%,61.62671681226345,,,2100348000
62,631-639 Commonwealth Avenue,Yes,College/University,631-639 Commonwealth Avenue,02215,113621,Not Available,Not applicable to this property type,,College/University,1957,722.4,6.4,Not Available,0%,0%,0%,11.936173770693797,,,0504089000
63,64-86 Cummington Street,Yes,College/University,64-86 Cummington Street,02215,49163,44.4,Not applicable to this property type,,College/University,1909,195.3,4,2184834.7,67%,0%,0%,5.526513841710229,,,2100281000
64,675-725 Commonwealth Avenue,Yes,College/University,675-725 Commonwealth Avenue,02215,328045,122.2,Not applicable to this property type,,College/University,1938,2699.2,8.2,40070906.5,33%,67%,0%,11.818195674373943,,"Break off Tsai?
",25887291000
65,745-755 Commonwealth Avenue,Yes,College/University,745-755 Commonwealth Avenue,02215,114978,138.2,Not applicable to this property type,,College/University,1947,1080,9.4,15886994.3,34%,66%,0%,1.7038042060220215,,,25887291000
66,765 Commonwealth Avenue,Yes,College/University,765 Commonwealth Avenue,02215,167671,137.4,Not applicable to this property type,,College/University,1964,1562.2,9.3,23043332.4,34%,66%,0%,1.709299759648359,,,25887291000
67,775 Commonwealth Avenue,Yes,College/University,775 Commonwealth Avenue,02215,202105,Not Available,Not applicable to this property type,,College/University,1963,0,0,Not Available,0%,0%,0%,,,,25887291000
68,785 Commonwealth Avenue (1 University Road),Yes,College/University,785 Commonwealth Avenue (1 University Road),02215,54767,141.3,Not applicable to this property type,,College/University,1931,504.7,9.2,7737695.2,28%,72%,0%,12.337721620683988,,,2100392000
69,855 Commonwealth Avenue,Yes,College/University,855 Commonwealth Avenue,02215,207318,Not Available,Not applicable to this property type,,College/University,1919,1486,7.2,Not Available,0%,0%,0%,11.288455416316962,,,2100397000
70,871 Commonwealth Avenue,Yes,College/University,871 Commonwealth Avenue,02215,95968,99.7,Not applicable to this property type,,College/University,1926,601.3,6.3,9571688.2,22%,78%,0%,7.092989329776592,,,2100398000
71,Activities Building,Yes,College/University,180 Riverway,02215,98044,61.3,Not applicable to this property type,,College/University,1967,510.9,5.2,6010717,73%,27%,0%,23.703643262208804,,,0402000000
72,890 Commonwealth Avenue,Yes,College/University,890 Commonwealth Avenue,02446,72389,90.3,Not applicable to this property type,,"College/University, Parking",1995,446.9,7.8,5188602.5,76%,24%,0%,16.009813645142767,,,Not Available
73,Boston College   (BERDO),Yes,College/University,140 Commonwealth Ave,02467,3277901,88,Not applicable to this property type,,College/University,1863,23247.4,7.1,288415492.2,56%,24%,17%,22.915731744186296,,"We just discovered that the CY-2013 Gas & Water usage was incorrectly reported.  I have re-entered the correct water usage for 2013, and we are meeting next week to determine the corrected gas usage.  Once corrected we will notify you again once we have re-filed CY-2013.  This will occur sometime in June 2015.   Steve Di Giacomo, PE  dated May 15, 2015. ",2102473001
74,MA0050ZZ - MOAKLEY COURTHOUSE,Yes,Courthouse,1 COURTHOUSE WAY,02109,945421,90.1,56,,"Courthouse, Parking",1998,6438.8,7,82465197.4,57%,43%,0%,10.923956624052543,,,0602671010
75,Federal Express Building,Yes,Distribution Center,775 Summer Street,02109,97000,105.9,70,,"Distribution Center, Office",1995,622,6.4,10272237.6,17%,83%,0%,,,,0603405000
76,"Boston Flower Exchange, Inc.",Yes,Distribution Center,540 Albany St,02118,77000,89,66,,Distribution Center,1970,475.9,6.2,6849993.2,38%,62%,0%,,,,0801055000
77,Greater Boston Food Bank,Yes,Distribution Center,70 Southbay Avenue,02118,117244,81,21,,"Distribution Center, Parking, Refrigerated Warehouse",2009,821.5,7,9500185.7,76%,24%,0%,5.181501825253318,,"We are a LEED Silver certified building. LEED is ""Leadership in Energy & Environmental Design, a green building certification program that recognizes best-in-class building strategies and practices."" To receive LEED certification, building projects must satisfy prerequisites and earn points to achieve different levels of certification. We have one freezer that is 5,990 sf but 3 stories high and 2 coolers that are 3,085 sf and 1,550 sf at the same height.  Our energy consumption seems a little higher than normal but understandable. Our building is unique and there is nothing that is comparable.",Not Available
78,Arthur J. Hurley Co.,Yes,Distribution Center,2500 Washington Street,02119,50000,21.3,90,,Distribution Center,1967,65.7,1.3,1064077.1,20%,80%,0%,2.872,61658,,01247-000
79,Economy Plumbing && Heating Supply Co,Yes,Distribution Center,875 Morton Street,02126,65000,Not Available,Not Available,,Distribution Center,2007,0,0,Not Available,0%,0%,0%,2.3892307692307693,,Plumbing & Heating Supply Company - Primarily used as a Warehouse storage and distribution with roughly only 10% used as offices. ,4051719
80,Jamestown - 1 Design Center Boston,Yes,Distribution Center,1 Design Center Place,02210,495668,75.5,Not Available,,"Distribution Center, Office, Other, Restaurant",1985,2842.6,5.7,37403261.3,52%,48%,0%,8.608786526465295,,,0602674012 0602674018
81,120 Ashford Street,Yes,Distribution Center,120 Ashford Street,02215,65198,Not Available,Not Available,,"Distribution Center, Office, Parking",1958,0,0,Not Available,0%,0%,0%,5.222552839044142,,,2100414000
82,Kneeland Street Station,Yes,Energy/Power Station,165 Kneeland Street,02111,169000,3.7,Not applicable to this property type,,Energy/Power Station,1930,59.8,0.4,617862,100%,0%,0%,19.59112426035503,,"The facility is a steam generating plant part of the Veolia heating and cooling district in Boston.

Energy and water consumption entries for the building were made based on the percent of electricity and water used for the building itself (lighting, excluding resources utilized in the steam production process as follows:
- Electricity - use by the building was estimated to be 5% of total electricity purchased per year based on estimates made for buildings of similar size.
- Water - use by the building was estimated to 1% of total usage based on steam production records. 
- Steam - 100% of the steam generated at the station is exported to the distribution system or recirculated to support the steam production process. 
- Natural Gas & Oil - 100% of fossil fuels are utilized for the steam production process. ",Not Available
83,Station 514,Yes,Energy/Power Station,67 Kingston St. (Chauncy St.),02111,80250,Not Available,Not applicable to this property type,,Energy/Power Station,1988,0,0,Not Available,0%,0%,0%,0.37258566978193147,,,0304520000
84,Exelon New Boston Station,Yes,Energy/Power Station,776 Summer Street,02127,261600,2,Not applicable to this property type,,"Energy/Power Station, Parking",1898,49.5,0.2,511293.7,100%,0%,0%,,,"Parking square footage as reported only includes designated parking areas.   ""Informal"" parking may also occur elsewhere within the paved lot.",0603406000
85,Medical Area Total Energy Plant,Yes,Energy/Power Station,474 Brookline Avenue,02215,259500,103.4,Not applicable to this property type,,Energy/Power Station,1980,1940.9,7.5,26819999.3,23%,0%,69%,3.4878612716763007,,"MATEP generates steam, chilled water and electricity from the on-site combustion of natural gas and fuel oil for distribution to customers and to supply the MATEP building with steam for space heating, chilled water for space cooling, and electricity for lighting and the operation of equipment not related to energy generation (the MATEP building is analogous to a MATEP ""customer""). MATEP also purchases electricity. However, all of the purchased electric power is either consumed by equipment used to generate energy (i.e. chillers) or is passed directly on to customers. Building energy use is calculated based on estimated equipment loads.

MATEP uses water supplied by the Boston Water & Sewer Commission/MWRA to produce boiler feed and chilled water, exhaust waste heat to the atmosphere via evaporation, and operate and cool energy generation equipment. A small portion of this water is also used to supply the building itself for sanitary purposes. Building water use is estimated.",0401930000
86,Bay State Realty,Yes,Financial Office,88 Broad Street,02110,63680,Not Available,Not Available,,Financial Office,1924,Not Available,Not Available,Not Available,0%,0%,0%,421.68498743718595,,,03983-000
87,SSFC,Yes,Financial Office,One Lincoln Street,02111,1341926,122,71,,"Data Center, Financial Office, Parking, Restaurant",2003,12145.5,11.6,127286470.8,97%,3%,0%,16.2814483645796,,,0304246010
88,Brookline Bancorp,Yes,Financial Office,131 Clarendon Street,02116,70346,123.5,39,,Financial Office,1899,697.1,9.9,8686029.3,62%,38%,0%,2146.2911892644925,,"We do have National Grid stopping by to check our meters in person, before they were estimates. This will help with consistent readings for 2015.",4289436 
89,Clarendon and Berkeley Buildings,Yes,Financial Office,200 Berkeley St &&,02116,1624928,62,89,"2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005",Financial Office,1922,8927,5.5,100826615.8,73%,0%,27%,9736.614853088875,,LEED-EBOM Project #1000006167,0401115000
90,01-1-Boston Head Office,Yes,Financial Office,600 Atlantic Avenue,02210,1190380,88.1,83,"2015, 2014, 2013, 2012, 2011, 2010, 2008","Data Center, Financial Office, Office, Parking",1978,12820.8,11.9,95020563.2,59%,2%,39%,14.538192960812975,,,0304340000
91,11 Farnsworth St - Parcel 06-02658-001,Yes,Financial Office,11 Farnsworth Street,02210,41566,46.4,86,,Financial Office,1893,186.7,4.5,1930301.6,100%,0%,0%,7.159697829957176,,,Not Available
92,12 -44 Thomson Place - Parcel 0602654010,Yes,Financial Office,12-44 Thomson Place,02210,184479,175.9,Not Available,,"Data Center, Financial Office",1900,2960.9,16,32445738.2,87%,13%,0%,6.780175521333051,,We did not receive separate usage information for the property's data center.  The electricity consumption of the data center is included in the  electric meter for 12 Thomson.,Not Available
93,Channel Center,Yes,Financial Office,1 Iron St,02210,501650,40.3,Not Available,,"Data Center, Financial Office",2014,1696.9,3.4,20195022.2,71%,0%,0%,10.780424598823881,,"Building received certificate of occupancy on 1/31/2014.  Property was occupied in different phases:  
Month             Occupancy rate
February         45.44%
March             63.62%
June               81.75%
July                90.90%
September   100.00%

This property is a single tenant property.  Reporting was completed by owner's agent.",0602750011
94,Manulife - 601 Congress Street,Yes,Financial Office,601 Congress Street,02210,617253,61.2,Not Available,"2014, 2013, 2012, 2010, 2009, 2008, 2007, 2006","Data Center, Financial Office, Parking",2004,-211.7,-0.4027455949106046,32154073.3,97%,3%,0%,11.958329052853463,,LEED project ID - 1000005675,0602678701
95,Engine 08,Municipal,Fire Station,392 Hanover St,02109,9926,180.7,Not applicable to this property type,,Fire Station,2000,108.8,11,1794119,17%,83%,0%,4.029820672980052,,,
96,Marine Unit,Municipal,Fire Station,50 Battery St,02109,2000,279.4,Not applicable to this property type,,Fire Station,2000,54.1,27,558749.1,100%,0%,0%,,,,
97,Engine 10,Municipal,Fire Station,125 Purchase St,02110,30052,129.8,Not applicable to this property type,,Fire Station,2000,278.3,9.3,3899400.7,42%,58%,0%,4.874883535205644,,,
98,Engine 03,Municipal,Fire Station,618 Harrison Ave,02111,6000,130.1,Not applicable to this property type,,Fire Station,2000,49,8.2,780406.8,22%,78%,0%,,,,
99,High Pressure Station,Municipal,Fire Station,117 Kneeland St,02111,2500,61.6,Not applicable to this property type,,Fire Station,2000,14.9,6,153963.1,100%,0%,0%,,,,
100,Engine 33,Municipal,Fire Station,941 Boylston St,02115,11580,138,Not applicable to this property type,,Fire Station,2000,124.2,10.7,1597584.1,23%,8%,0%,2.5820379965457687,,,
101,Engine 37,Municipal,Fire Station,560 Huntington Ave,02115,15824,89.4,Not applicable to this property type,,Fire Station,2000,87.5,5.5,1414079.4,20%,80%,0%,2.3571789686552074,,,
102,Fire Alarm,Municipal,Fire Station,59 Fenway,02115,13040,281.1,Not applicable to this property type,,Fire Station,2000,265.8,20.4,3665690.1,44%,56%,0%,2.691717791411043,,,
103,Engine 07,Municipal,Fire Station,200 Columbus Ave,02116,11376,122.4,Not applicable to this property type,,Fire Station,2000,132.6,11.7,1392474,97%,3%,0%,3.111814345991561,,,
104,Engine 22,Municipal,Fire Station,700 Tremont St,02118,10500,121,Not applicable to this property type,,Fire Station,2000,79.9,7.6,1270151.4,22%,78%,0%,2.8095238095238093,,,
105,Headquarters BFD,Municipal,Fire Station,115 South Hampton St,02118,62432,146.6,Not applicable to this property type,,Fire Station,2000,598.5,9.6,9152278,28%,72%,0%,,,,
106,Engine 14,Municipal,Fire Station,174 Dudley St,02119,13200,142.4,Not applicable to this property type,,Fire Station,2000,123.6,9.4,1879520,29%,71%,0%,3.643939393939394,,,
107,Engine 28,Municipal,Fire Station,746 Centre St,02119,13424,107.5,Not applicable to this property type,,Fire Station,2000,95.3,7.1,1443690.6,30%,70%,0%,3.530989272943981,,,
108,Engine 42,Municipal,Fire Station,1870 Columbus Ave,02119,10384,113.8,Not applicable to this property type,,Fire Station,2000,77,7.4,1181811.8,28%,72%,0%,5.084745762711864,,,
109,Engine 24,Municipal,Fire Station,36 Washington St,02121,12600,123.6,Not applicable to this property type,,Fire Station,2000,99.9,7.9,1556898.9,25%,75%,0%,3.6031746031746033,,,
110,Engine 17,Municipal,Fire Station,7 Parish St,02122,10008,149.8,Not applicable to this property type,,Fire Station,2000,91,9.1,1499419.3,17%,83%,0%,5.385691446842526,,,
111,Engine 20,Municipal,Fire Station,301 Neponset Ave,02122,12000,99.7,Not applicable to this property type,,Fire Station,2000,72.6,6,1196176.6,17%,83%,0%,1.55,,,
